0,0,0,"Sun",1,5772.,"G2V"
2.9442481260020283,-3.019826879368229,-0.16931704967025207,"Proxima Centauri",0.27,3.2e3,"M5Ve"
3.163573268284198,-3.04661925441702,-0.081719788159023,"Rigel Kentaurus A",1.,5.8e3,"G2V"
3.170709716334457,-3.0540406399795317,-0.08210348955411541,"Rigel Kentaurus B",0.82,5.e3,"K1V"
4.935252647293976,2.9966610681528727,1.3865733834584062,"Barnard's Star",0.24,2.8e3,"sdM4e"
-1.8048194647791092,-3.903828023718232,6.499276016346733,"Wolf 359",0.21,2.5e3,"M6Ve"
-3.3588291262654626,-0.3185022861533704,7.59191318437388,"Lalande 21185",0.5,3.5e3,"M2V"
-2.1907649622487,0.14687659491446292,-8.276905818246522,"Luyten 726-8 A",0.24,2.8e3,"M5.5Ve"
-2.1907649622487,0.14687659491446292,-8.276905818246522,"Luyten 726-8 B",0.24,2.8e3,"M5.5Ve"
-5.743589261549047,-6.271357333204924,-1.2596204270106846,"Sirius",2.3,9.4e3,"A1Vm"
-5.74488447691759,-6.270551037351179,-1.2577265434144589,"Sirius B",0.00867,2.52e4,"DA2"
9.317977878512988,1.9227431713842948,-1.8291453649112115,"Ross 154",0.38,3.3e3,"M3.5Ve"
-3.466188925815395,9.26292587416867,-2.9805031717013044,"Gl 905",0.21,2.5e3,"M6Ve"
-6.816709204608646,-1.9654735616190173,-7.728227003169947,"ϵ Eridani",0.8,4.8e3,"K2V"
4.25097976670552,0.4029772416121204,-9.840749268552846,"Lacaille 9352",0.46,3.5e3,"M2.5V"
0.14584725417117608,-5.501480021049878,9.387667766842275,"Ross 128",0.31,3.2e3,"M4.5V"
3.995338215958316,4.428898880436874,-9.334076335311318,"Gl 866 A",0.27,3.2e3,"M5Ve"
-9.176093030654682,-6.2161697178795405,2.6740432800333553,"Procyon",2.048,6530.,"F5IV-V"
-9.1765522189889,-6.21441650188884,2.6765413541751437,"Procyon B",0.012,7.7e3,"DA"
1.4413665132632583,11.268309309512917,-1.1851832432973026,"61 Cygni A",0.72,4.4e3,"K5V"
1.4417515711136093,11.268087851377954,-1.1868192973465737,"61 Cygni B",0.67,4.2e3,"K7V"
0.11795101039406529,10.45535938197882,4.689587111500894,"HIP 91772",0.29,3.2e3,"M3.5V"
-5.044082737491465,9.810570197943083,-3.633264359713514,"Groombridge 34",0.39,3567.,"M2 V"
0.11904187407324265,10.611894521296582,4.760145339366005,"HIP 91768",0.42,3.4e3,"M3V"
-5.044061269685019,9.829181103303139,-3.638714204995717,"Groombridge 34 B",0.21,2.5e3,"M6Ve"
-9.453776135095909,-2.9680461723135285,6.444645847384194,"DX Cancri",0.18,2.7e3,"M6.5V"
7.159440337105166,-3.1564839306541272,-8.862036641226629,"ϵ Indi",0.72,4.4e3,"K5V"
-3.4870077549247895,0.37181448701073627,-11.36156597329592,"τ Ceti",0.88,5.3e3,"G8V"
-2.1705554283534574,1.1645455480027318,-11.863701691312246,"YZ Ceti",0.24,2.8e3,"M5.5Ve"
-10.227848294664756,-6.574727745343501,2.346941337650575,"Luyten's Star",0.27,3.2e3,"M5V"
-3.4657979011414297,-9.768576378747582,-7.461163608178865,"Kapteyn's Star",0.6,3.8e3,"M0V"
9.094397488604477,0.6719812619073318,-9.07684208734627,"Lacaille 8760",1.,3.96e3,"M1/M2V"
-3.388856973048173,12.617906545460947,0.020905097627024322,"Kruger 60",0.5,3.5e3,"M2V"
-3.391403259359869,12.617222762607394,0.020686747486784954,"Gl 860 B",0.21,2.5e3,"M6V"
-11.170524947071115,-7.322666776235185,-1.319335584703461,"V0577 Monocerotis",0.31,3.2e3,"M4.5Ve"
-11.17201589076298,-7.320342620019849,-1.3196088875043543,"Gl 234 B",1.,0,"Not Available"
-2.694899386065055,-8.047564533722266,-11.123610796944009,"GJ 1061",0.24,2.8e3,"M5.5V"
12.845403255526163,0.8321079870794243,5.48471257320877,"V2306 Ophiuchi",1.,3393.,"M3/3.5 V"
1.6116656199640338,-4.215285154745049,13.294527284604742,"Gl 473 A",0.24,2.8e3,"dM5.5eJ"
1.6116656199640338,-4.215285154745049,13.294527284604742,"Gl 473 B",1.,0,"M7"
3.173164139227506,-0.9712996866307128,-13.771544911683463,"HIP 439",0.5,3.5e3,"M2V"
-8.400164592662614,-2.9308760416769655,-11.237322325994986,"HIP 15689",1.,0,"Not Available"
-4.245333882107493,6.52007637374704,-12.074870653761081,"Van Maanen's Star",0.01,7.7e3,"DG"
-9.283716822640589,-7.998780911729667,7.851055543184283,"GJ 3522",1.,3.55e3,"k"
-8.615641278000666,5.307983357654893,-10.477703486898765,"Gl 83.1",0.24,3.1e3,"M4.5V"
4.659456186434089,-13.859530324198206,-0.5449333278962264,"GJ 3618",1.,3.37e3,"m"
11.545012286314725,-5.613848063811907,7.15726860562859,"HIP 72509",1.,3.76e3,"M"
-1.5705047809739032,-10.942826756151876,9.76647932201798,"GJ 3622",1.,3.07e3,"M6.5"
14.069851881079153,-4.2165883580419,-1.8894325501408944,"HIP 85523",1.,3.6e3,"M2.5"
-1.874124883321116,12.439573696281112,7.8588641412816695,"HIP 86162",0.42,3413.,"M3 V"
3.850857034620701,5.610788257906884,-13.430704253650765,"HIP 114110",1.,0,"Not Available"
6.671291148267982,-13.483061972051217,-0.8035258200033558,"HIP 57367",0.0042,9.e3,"DC:"
-0.4396731167229034,5.786499211015093,-14.177884365774027,"GJ 1002",1.,3.19e3,"M5-5.5"
4.595611589483499,6.120128182986467,-13.282083780459631,"IL Aquarii",1.,3.71e3,"M4"
